con18_center,con18_config_id,con18_gate_sign,con18_gate_tau,con18_mean_delta,con18_shrink_gate,con18_time_power,con18_width,con18_worst_delta,con9_center,con9_config_id,con9_gate_sign,con9_gate_tau,con9_mean_delta,con9_shrink_gate,con9_time_power,con9_width,con9_worst_delta,mean_delta,median_delta,nonharm,rows,wins,worst_delta
0.3,362,signed,0.001,-13.173451670601558,1,0.0,0.15,-12.101224065051442,0.2,6,signed,0.003,-17.49512605499751,1,0.0,0.05,-11.704506458753283,-37.80369622576312,-40.477293275340145,15,15,15,-11.704506458753283
0.2,231,signed,0.01,-13.182068737949086,0,2.0,0.25,-12.196503936287407,0.2,51,signed,0.01,-17.48641773980782,0,2.0,0.05,-11.80343749520516,-37.80367797619468,-40.477293275340145,15,15,15,-11.80343749520516
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,14,signed,0.03,-17.404166505745042,1,0.0,0.05,-11.546609391401152,-37.80365662403078,-40.477293275340145,15,15,15,-11.546609391401152
0.3,366,signed,0.003,-13.171332461221644,1,0.0,0.15,-12.10105839108293,0.2,2,signed,0.001,-17.496060948292847,1,0.0,0.05,-11.706361339257654,-37.80345936254619,-40.477293275340145,15,15,15,-11.706361339257654
0.3,395,signed,0.03,-13.106246586748917,0,1.0,0.15,-12.079598866764208,0.2,23,signed,0.001,-17.560997686564807,0,1.0,0.05,-11.80064391895933,-37.803429535306044,-40.477293275340145,15,15,15,-11.80064391895933
0.2,231,signed,0.01,-13.182068737949086,0,2.0,0.25,-12.196503936287407,0.2,10,signed,0.01,-17.485034476000102,1,0.0,0.05,-11.6844842337675,-37.803401323433135,-40.477293275340145,15,15,15,-11.6844842337675
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,47,signed,0.003,-17.402597720992173,0,2.0,0.05,-11.804900882503366,-37.80334286708021,-40.477293275340145,15,15,15,-11.804900882503366
0.3,366,signed,0.003,-13.171332461221644,1,0.0,0.15,-12.10105839108293,0.2,6,signed,0.003,-17.49512605499751,1,0.0,0.05,-11.704506458753283,-37.803272383887126,-40.477293275340145,15,15,15,-11.704506458753283
0.3,395,signed,0.03,-13.106246586748917,0,1.0,0.15,-12.079598866764208,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.80303955195557,-40.477293275340145,15,15,15,-11.797014374541225
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,35,signed,0.03,-17.415978643263337,0,1.0,0.05,-11.545967898777365,-37.80297286094534,-40.477293275340145,15,15,15,-11.545967898777365
0.2,231,signed,0.01,-13.182068737949086,0,2.0,0.25,-12.196503936287407,0.2,30,signed,0.01,-17.480217697204633,1,1.0,0.05,-11.80756647979444,-37.802437967674045,-40.477293275340145,15,15,15,-11.80756647979444
0.3,466,signed,0.003,-13.205560366564294,1,2.0,0.25,-12.314812459538926,0.2,54,signed,0.03,-17.456304361328275,1,2.0,0.05,-11.628590455941268,-37.802353626221816,-40.477293275340145,15,15,15,-11.628590455941268
0.3,391,signed,0.01,-13.18868682527099,0,1.0,0.15,-11.980935755867005,0.2,34,signed,0.03,-17.47301731166604,1,1.0,0.05,-11.653897427837823,-37.80232150803071,-40.477293275340145,15,15,15,-11.653897427837823
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,14,signed,0.03,-17.404166505745042,1,0.0,0.05,-11.546609391401152,-37.802236663110314,-40.477293275340145,15,15,15,-11.546609391401152
