bootstrap,full_kappa,kappa,retention,scale,subset_n,tau,train_curve,train_label
16,0.0,0.0,0.012802246296063212,400,544,0.030898198785299612,cosine_72000.csv,Cosine
17,0.0,0.014987017949926526,0.014878470660079168,400,547,0.030898198785299612,cosine_72000.csv,Cosine
18,0.0,0.0,0.0406419544781164,400,544,0.030898198785299612,cosine_72000.csv,Cosine
19,0.0,0.00466769028575389,0.026985794118672354,400,550,0.030898198785299612,cosine_72000.csv,Cosine
20,0.0,8.779516460905022e-05,0.011319204580003496,400,548,0.030898198785299612,cosine_72000.csv,Cosine
21,0.0,0.0,0.04007719195964223,400,546,0.030898198785299612,cosine_72000.csv,Cosine
22,0.0,0.0,0.03644792161727457,400,549,0.030898198785299612,cosine_72000.csv,Cosine
23,0.0,0.0,0.030423069767831018,400,544,0.030898198785299612,cosine_72000.csv,Cosine
24,0.0,0.0,0.027362470353748124,400,545,0.030898198785299612,cosine_72000.csv,Cosine
25,0.0,0.003102514233264137,0.0012794442991645274,400,535,0.030898198785299612,cosine_72000.csv,Cosine
26,0.0,0.0,0.02946005226453509,400,548,0.030898198785299612,cosine_72000.csv,Cosine
27,0.0,0.0,0.010724517958168514,400,545,0.030898198785299612,cosine_72000.csv,Cosine
28,0.0,0.003001099352913831,0.026158274346800004,400,546,0.030898198785299612,cosine_72000.csv,Cosine
29,0.0,0.0,0.048303680963216016,400,549,0.030898198785299612,cosine_72000.csv,Cosine
30,0.0,0.002875607688709619,0.03175857235149446,400,550,0.030898198785299612,cosine_72000.csv,Cosine
31,0.0,0.004794690440615313,0.017990768410529646,400,544,0.030898198785299612,cosine_72000.csv,Cosine
32,0.0,0.0,0.02531319104691148,400,541,0.030898198785299612,cosine_72000.csv,Cosine
33,0.0,0.0,0.0300003337879218,400,547,0.030898198785299612,cosine_72000.csv,Cosine
34,0.0,0.006965600442466202,0.028615156082652228,400,545,0.030898198785299612,cosine_72000.csv,Cosine
35,0.0,0.0,0.028166712337124394,400,544,0.030898198785299612,cosine_72000.csv,Cosine
36,0.0,0.004169053240255028,0.035839667128738435,400,547,0.030898198785299612,cosine_72000.csv,Cosine
37,0.0,0.004813123765358087,0.0301557545558286,400,547,0.030898198785299612,cosine_72000.csv,Cosine
38,0.0,0.005622527948211062,0.030996195845837595,400,548,0.030898198785299612,cosine_72000.csv,Cosine
39,0.0,0.009638200945609007,0.035762262805417826,400,545,0.030898198785299612,cosine_72000.csv,Cosine
40,0.0,0.009699341104834737,0.011792860653667756,400,542,0.030898198785299612,cosine_72000.csv,Cosine
41,0.0,0.0,0.04140063152271762,400,547,0.030898198785299612,cosine_72000.csv,Cosine
42,0.0,0.0018707599677271307,0.001036301895708278,400,549,0.030898198785299612,cosine_72000.csv,Cosine
43,0.0,0.0,0.024162690657553977,400,548,0.030898198785299612,cosine_72000.csv,Cosine
44,0.0,0.0,0.03995110721473348,400,548,0.030898198785299612,cosine_72000.csv,Cosine
45,0.0,0.0,0.03495388493283824,400,544,0.030898198785299612,cosine_72000.csv,Cosine
46,0.0,0.0,0.05138434368981481,400,543,0.030898198785299612,cosine_72000.csv,Cosine
47,0.0,0.0,0.019051508054545203,400,547,0.030898198785299612,cosine_72000.csv,Cosine
48,0.0,0.00017414672072050446,0.04085363723232908,400,543,0.030898198785299612,cosine_72000.csv,Cosine
49,0.0,0.007518478974089027,0.004901115181244616,400,545,0.030898198785299612,cosine_72000.csv,Cosine
50,0.0,0.0,0.03181131141331259,400,546,0.030898198785299612,cosine_72000.csv,Cosine
51,0.0,0.006809582116732103,0.031392959824241416,400,547,0.030898198785299612,cosine_72000.csv,Cosine
52,0.0,0.0,0.03983149933680283,400,547,0.030898198785299612,cosine_72000.csv,Cosine
53,0.0,0.004829688479626207,0.005014310730285815,400,545,0.030898198785299612,cosine_72000.csv,Cosine
54,0.0,0.0,0.02621808071098789,400,547,0.030898198785299612,cosine_72000.csv,Cosine
55,0.0,0.008789594927731776,0.03182516450195722,400,546,0.030898198785299612,cosine_72000.csv,Cosine
56,0.0,0.010601105461955139,0.03823560003531489,400,545,0.030898198785299612,cosine_72000.csv,Cosine
57,0.0,0.019393531719463054,0.010956819886835839,400,546,0.030898198785299612,cosine_72000.csv,Cosine
58,0.0,0.0,0.02885402470714713,400,544,0.030898198785299612,cosine_72000.csv,Cosine
59,0.0,0.0,0.029389210935282874,400,543,0.030898198785299612,cosine_72000.csv,Cosine
60,0.0,0.007904496442998338,0.005601986651208508,400,542,0.030898198785299612,cosine_72000.csv,Cosine
61,0.0,0.0,0.026491012363520746,400,544,0.030898198785299612,cosine_72000.csv,Cosine
62,0.0,0.0,0.025675770849577305,400,545,0.030898198785299612,cosine_72000.csv,Cosine
63,0.0,0.01967839212024155,0.013191451108307781,400,548,0.030898198785299612,cosine_72000.csv,Cosine
64,0.0,0.0,0.012596178666588262,400,542,0.030898198785299612,cosine_72000.csv,Cosine
65,0.0,0.00352946529014452,0.02687200336626357,400,548,0.030898198785299612,cosine_72000.csv,Cosine
66,0.0,0.015313491886488229,0.015563294783833267,400,548,0.030898198785299612,cosine_72000.csv,Cosine
67,0.0,0.010901656042219732,0.01182591105567937,400,546,0.030898198785299612,cosine_72000.csv,Cosine
68,0.0,0.0,0.029542217535903994,400,550,0.030898198785299612,cosine_72000.csv,Cosine
69,0.0,0.001910540649684436,0.0005741027402836256,400,544,0.030898198785299612,cosine_72000.csv,Cosine
70,0.0,0.0,0.04647597440229385,400,548,0.030898198785299612,cosine_72000.csv,Cosine
71,0.0,0.005897183935380553,0.004693888001557454,400,543,0.030898198785299612,cosine_72000.csv,Cosine
72,0.0,0.004316931181158106,0.013836810903602613,400,546,0.030898198785299612,cosine_72000.csv,Cosine
73,0.0,0.0,0.029224667745531355,400,548,0.030898198785299612,cosine_72000.csv,Cosine
74,0.0,0.0,0.034896218514468516,400,544,0.030898198785299612,cosine_72000.csv,Cosine
75,0.0,0.003133292100059361,0.013739232137348834,400,546,0.030898198785299612,cosine_72000.csv,Cosine
76,0.0,0.0,0.02823584990534999,400,545,0.030898198785299612,cosine_72000.csv,Cosine
77,0.0,0.0,0.049815456065626575,400,548,0.030898198785299612,cosine_72000.csv,Cosine
78,0.0,0.0062183351102858535,0.026813749938260537,400,545,0.030898198785299612,cosine_72000.csv,Cosine
79,0.0,0.004223981844033114,0.005700096320099375,400,546,0.030898198785299612,cosine_72000.csv,Cosine
0,0.016941554704404626,0.023089434485421695,0.2964011792736057,25,171,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
1,0.016941554704404626,0.015226445915269433,0.14737764603111841,25,170,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
2,0.016941554704404626,0.01759068876178344,0.23306033827478373,25,173,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
3,0.016941554704404626,0.01854696541704191,0.2669211056632076,25,171,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
4,0.016941554704404626,0.016762735758139875,0.21041227230156118,25,170,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
5,0.016941554704404626,0.01430244764645659,0.12032536132335873,25,170,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
6,0.016941554704404626,0.01554232663154081,0.20968041614731017,25,170,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
7,0.016941554704404626,0.014884111874829173,0.17591725681876244,25,170,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
