config_id,extra_center,extra_tau,extra_time_power,extra_width,mean_delta,median_delta,nonharm,rows,shrink_gates,target_mean_delta,target_worst_delta,wins,worst_delta
366,0.2,0.03,0.0,0.03,-37.880920463075405,-40.477293275340145,15,15,0,-17.545978135931357,-11.779697425157053,15,-11.779697425157053
268,0.15,0.1,2.0,0.08,-37.880912296253285,-40.477293275340145,15,15,0,-17.54593730182073,-11.778276081683547,15,-11.778276081683547
779,0.3,0.1,2.0,0.05,-37.88082901260961,-40.477293275340145,15,15,1,-17.54552088360235,-11.797903904217966,15,-11.797903904217966
1188,0.5,0.1,1.0,0.1,-37.88077741125091,-40.477293275340145,15,15,0,-17.545262876808863,-11.745296655474291,15,-11.745296655474291
922,0.4,0.003,2.0,0.03,-37.88076913634213,-40.477293275340145,15,15,0,-17.54522150226497,-11.728332750275051,15,-11.728332750275051
568,0.25,0.1,2.0,0.03,-37.880651102595884,-40.477293275340145,15,15,0,-17.544631333533754,-11.777692681835871,15,-11.777692681835871
58,0.1,0.1,2.0,0.05,-37.88057213286327,-40.477293275340145,15,15,0,-17.544236484870705,-11.770579879869313,15,-11.770579879869313
920,0.4,0.001,2.0,0.03,-37.88057058337787,-40.477293275340145,15,15,0,-17.544228737443632,-11.723770703320014,15,-11.723770703320014
914,0.4,0.01,1.0,0.03,-37.880498848810376,-40.477293275340145,15,15,0,-17.54387006460621,-11.735924706683875,15,-11.735924706683875
168,0.1,0.1,1.0,0.25,-37.88048724591865,-40.477293275340145,15,15,0,-17.543812050147583,-11.742443245398714,15,-11.742443245398714
979,0.4,0.1,1.0,0.08,-37.88039345913852,-40.477293275340145,15,15,1,-17.54334311624685,-11.742355951094686,15,-11.742355951094686
718,0.25,0.1,2.0,0.25,-37.88009946883835,-40.477293275340145,15,15,0,-17.541873164746036,-11.731419703375657,15,-11.731419703375657
499,0.2,0.1,1.0,0.15,-37.880001721380395,-40.477293275340145,15,15,1,-17.54138442745631,-11.815432368970269,15,-11.815432368970269
1259,0.5,0.1,2.0,0.25,-37.8798897680135,-40.477293275340145,15,15,1,-17.54082466062182,-11.815929524004154,15,-11.815929524004154
948,0.4,0.1,1.0,0.05,-37.87960322601757,-40.477293275340145,15,15,0,-17.53939195064213,-11.740391281800722,15,-11.740391281800722
7,0.1,0.03,0.0,0.03,-37.87959967623188,-40.477293275340145,15,15,1,-17.539374201713667,-11.795720403787913,15,-11.795720403787913
912,0.4,0.003,1.0,0.03,-37.87956583879989,-40.477293275340145,15,15,0,-17.53920501455379,-11.718279607373583,15,-11.718279607373583
68,0.1,0.1,0.0,0.08,-37.879560601123735,-40.477293275340145,15,15,0,-17.539178826172968,-11.761471941068502,15,-11.761471941068502
88,0.1,0.1,2.0,0.08,-37.87953802420917,-40.477293275340145,15,15,0,-17.53906594160014,-11.76259443751848,15,-11.76259443751848
468,0.2,0.1,1.0,0.1,-37.87948873590704,-40.477293275340145,15,15,0,-17.53881950008949,-11.762336189091638,15,-11.762336189091638
910,0.4,0.001,1.0,0.03,-37.879458915168996,-40.477293275340145,15,15,0,-17.538670396399244,-11.716256985572905,15,-11.716256985572905
208,0.15,0.1,2.0,0.03,-37.879279437771835,-40.477293275340145,15,15,0,-17.537773009413453,-11.77127206526798,15,-11.77127206526798
48,0.1,0.1,1.0,0.05,-37.879181164609,-40.477293275340145,15,15,0,-17.537281643599325,-11.758613921822658,15,-11.758613921822658
