feature_retention,fit_start,kappa,orth_ols_kappa,orthogonal_alignment,protocol,raw_cosine_alignment,scale,shrinkage,tangent_dim,tangent_group
0.5184890844587021,8000,0.0,0.0,-3.4824336994071663,cosine_only,-0.8425559062060172,25,sqrt_retention,1,ld4
0.5184890844587021,8000,0.0,0.0,-3.4824336994071663,cosine_only,-0.8425559062060172,25,full_energy,1,ld4
0.0005945577196348857,8000,52.284996071512005,52.284996071512005,52.284996071512005,cosine_only,-0.49231159637675526,100,orth_ols,4,ld4
0.0005945577196348857,8000,1.2748940400707822,52.284996071512005,52.284996071512005,cosine_only,-0.49231159637675526,100,sqrt_retention,4,ld4
0.0005945577196348857,8000,0.031086448035397132,52.284996071512005,52.284996071512005,cosine_only,-0.49231159637675526,100,full_energy,4,ld4
0.0016134013728168427,8000,8.24943505606322,8.24943505606322,8.24943505606322,cosine_only,-0.1317940435333917,400,orth_ols,4,ld4
0.0016134013728168427,8000,0.33135644253650776,8.24943505606322,8.24943505606322,cosine_only,-0.1317940435333917,400,sqrt_retention,4,ld4
0.0016134013728168427,8000,0.013309649844415787,8.24943505606322,8.24943505606322,cosine_only,-0.1317940435333917,400,full_energy,4,ld4
0.23306293432046127,8000,5.237476599403542,5.237476599403542,5.237476599403542,cosine_only,-0.8425559062060172,25,orth_ols,4,all7
0.23306293432046127,8000,2.528475213367132,5.237476599403542,5.237476599403542,cosine_only,-0.8425559062060172,25,sqrt_retention,4,all7
0.23306293432046127,8000,1.2206616646917405,5.237476599403542,5.237476599403542,cosine_only,-0.8425559062060172,25,full_energy,4,all7
1.8122445118948714e-06,8000,616.9535214960049,616.9535214960049,616.9535214960049,cosine_only,-0.49231159637675526,100,orth_ols,7,all7
1.8122445118948714e-06,8000,0.8305405556461637,616.9535214960049,616.9535214960049,cosine_only,-0.49231159637675526,100,sqrt_retention,7,all7
1.8122445118948714e-06,8000,0.0011180706334253494,616.9535214960049,616.9535214960049,cosine_only,-0.49231159637675526,100,full_energy,7,all7
1.4415552012896136e-05,8000,0.0,0.0,-85.91916676885654,cosine_only,-0.1317940435333917,400,orth_ols,7,all7
1.4415552012896136e-05,8000,0.0,0.0,-85.91916676885654,cosine_only,-0.1317940435333917,400,sqrt_retention,7,all7
1.4415552012896136e-05,8000,0.0,0.0,-85.91916676885654,cosine_only,-0.1317940435333917,400,full_energy,7,all7
