base_mae,candidate,corr_mae,delta_pct,kappa,rho,scale,shrink,test_curve,test_label,train_id,train_label,train_size,win
0.0013816404339982303,train_size_rho0p35,0.0012875447033997038,-6.810435499938983,0.027357620727667904,0.35,100,0.7407407407407407,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,train_size_rho0p35,0.004717541127843312,-16.789407184036932,0.027357620727667904,0.35,100,0.7407407407407407,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.004934623402238123,train_size_rho0p35,0.0049469057709993795,0.24890184640404822,0.027357620727667904,0.35,100,0.7407407407407407,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.003248313740665229,train_size_rho0p35,0.0026385267859510347,-18.772415579208012,0.027357620727667904,0.35,100,0.7407407407407407,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,train_size_rho0p5,0.002985409850383169,-20.34808756134414,0.024621858654901116,0.5,100,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0013816404339982303,train_size_rho0p5,0.0012415578952275736,-10.13885634233227,0.024621858654901116,0.5,100,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,train_size_rho0p5,0.004543348873529426,-19.861906257729988,0.024621858654901116,0.5,100,0.6666666666666666,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.004934623402238123,train_size_rho0p5,0.004827707940146291,-2.1666387356599426,0.024621858654901116,0.5,100,0.6666666666666666,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.003248313740665229,train_size_rho0p5,0.002699505481422466,-16.89517402128684,0.024621858654901116,0.5,100,0.6666666666666666,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,train_size_rho0p75,0.003094361374910739,-17.441217909723516,0.021104450275629526,0.75,100,0.5714285714285714,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0013816404339982303,train_size_rho0p75,0.0012252827460091187,-11.316814718330104,0.021104450275629526,0.75,100,0.5714285714285714,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,train_size_rho0p75,0.004434585536306456,-21.780333998306624,0.021104450275629526,0.75,100,0.5714285714285714,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.004934623402238123,train_size_rho0p75,0.004731610986327257,-4.1140407152203124,0.021104450275629526,0.75,100,0.5714285714285714,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.003248313740665229,train_size_rho0p75,0.0027779066613142765,-14.481577732531981,0.021104450275629526,0.75,100,0.5714285714285714,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,train_size_rho1p0,0.003176075018306414,-15.261065671008122,0.018466393991175837,1.0,100,0.5,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0013816404339982303,train_size_rho1p0,0.0012232531569301493,-11.463711771212093,0.018466393991175837,1.0,100,0.5,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,train_size_rho1p0,0.00442653045569341,-21.922413953696097,0.018466393991175837,1.0,100,0.5,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.004934623402238123,train_size_rho1p0,0.0046814241295405545,-5.131075911136984,0.018466393991175837,1.0,100,0.5,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.003248313740665229,train_size_rho1p0,0.0028367075462331502,-12.671380515965335,0.018466393991175837,1.0,100,0.5,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,train_selected_rho,0.002985409850383169,-20.34808756134414,0.024621858654901116,0.5,100,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0013816404339982303,train_selected_rho,0.0012415578952275736,-10.13885634233227,0.024621858654901116,0.5,100,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.0056693997340904675,train_selected_rho,0.004543348873529426,-19.861906257729988,0.024621858654901116,0.5,100,0.6666666666666666,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.004934623402238123,train_selected_rho,0.004827707940146291,-2.1666387356599426,0.024621858654901116,0.5,100,0.6666666666666666,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.003248313740665229,train_selected_rho,0.002699505481422466,-16.89517402128684,0.024621858654901116,0.5,100,0.6666666666666666,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
