candidate,heldout_tests,max_kappa,mean_heldout,mean_kappa,mean_shrink,median_heldout,median_rho,train_id,train_label,train_size,wins,worst_heldout
none,12,0.031096406770903168,-15.312068548983552,0.021200449336582227,1.0,-11.363489006085231,0.0,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2,12,-2.2439622734230835
none,12,0.02150821754667251,-7.347943443928332,0.014700692740877895,1.0,-6.79999126657655,0.0,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2,12,-1.3554804004757282
none,9,0.02533130256821682,-8.321781504347515,0.01760580813362758,1.0,-7.871738113858518,0.0,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,3,9,-1.7310611055114888
none,9,0.02558906847479772,-7.59828382641357,0.017518341615822913,1.0,-7.814524261681011,0.0,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,3,9,-1.6679853945691936
none,6,0.025516723308296865,-6.903399705093544,0.017563571357668017,1.0,-5.705535964107444,0.0,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-1.713376955071566
none,12,0.025956299573158922,-12.5470901890845,0.016872848760492654,1.0,-9.101708169671374,0.0,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2,12,-1.4954718648628962
none,9,0.03043490198638913,-15.817611930435154,0.020388605596324667,1.0,-12.110126431050372,0.0,wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,3,9,-1.9963496940939351
none,12,0.05283125035873584,-9.857535578355881,0.03369682997820673,1.0,-5.700753870802794,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2,9,3.5557590954992557
none,9,0.04209708478028282,-15.340051111235782,0.027924192626546596,1.0,-5.432346166894275,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 18e-5,3,9,-2.4444922891979304
none,9,0.02242475776893379,-6.80515396708081,0.015255235095525723,1.0,-6.058187325523345,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD linear + WSD-con 3e-5,3,9,-1.3997441060828786
none,6,0.026725763488033877,-6.99304559562864,0.018438130347845694,1.0,-4.490492627355891,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,6,-1.7894500736564067
none,6,0.026754154816250434,-5.890329304402275,0.01822541666926376,1.0,-5.122574756356463,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,6,-1.720331259065777
