kind,scale,train,test,n_train,lambda,kappa,train_delta_pct,test_base_mae,test_corr_mae,test_delta_pct,wins,tests,train_has_final_target,test_has_final_target
probe_to_final,400,wsdcon_3+wsdcon_9,wsd_20000_24000+wsdld_20000_24000,2,20.0,0.049944149954056355,-34.14629198554585,0.004277777655323304,0.003540618242655072,-17.232298451765125,2,2,False,True
probe_to_final,25,wsdcon_3+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,2,20.0,0.025822119205196743,-40.312659389962946,0.0032722406824073,0.0028892408635432403,-11.704512474378781,2,2,False,True
probe_to_final,100,wsdcon_3+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,2,20.0,0.03292758712128786,-37.377964751872874,0.003498192131370691,0.0030126584017205007,-13.879561539690055,2,2,False,True
probe_to_final,400,wsdcon_3+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,2,20.0,0.051492698175926485,-41.95436052543934,0.004277777655323304,0.0035180281200386868,-17.760379255316806,2,2,False,True
probe_to_final,25,wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,2,14.0,0.021157119823719785,-20.534188568572343,0.0032722406824073,0.0028434743547760166,-13.103141524291894,2,2,False,True
probe_to_final,100,wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,2,20.0,0.023227250145110772,-9.51775622494193,0.003498192131370691,0.0031556947187624477,-9.790697587386177,2,2,False,True
probe_to_final,400,wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,2,14.0,0.03328633032914124,-9.748530352938678,0.004277777655323304,0.0036026351540752568,-15.782552429014029,2,2,False,True
probe_to_final,25,wsdcon_3+wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,3,20.0,0.024963366630532398,-34.127511193286445,0.0032722406824073,0.00290197808615196,-11.315261687381373,2,2,False,True
probe_to_final,100,wsdcon_3+wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,3,20.0,0.031206352047281154,-25.712217055279616,0.003498192131370691,0.0030380388731777244,-13.154030450942255,2,2,False,True
probe_to_final,400,wsdcon_3+wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000,3,20.0,0.04912066866461048,-29.471621832582684,0.004277777655323304,0.0035526311351424754,-16.951477580384534,2,2,False,True
