group,mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,train_size,wins,worst_delta_pct
main_matrix,-3.3345753386171304,0.23778597490554887,retention_alpha_1p5,18,18,5,18,-0.00462972614792001
extra_holdout,0.000947471299388107,0.00014424658409336553,retention_alpha_1p5,36,54,5,0,0.006496924018151162
all,-0.8329332311797416,0.05955467866445726,retention_alpha_1p5,54,72,5,18,0.006496924018151162
main_matrix,-2.294947851216101,0.16589300332652115,retention_alpha_2p0,90,90,1,90,-0.00038605885239739735
extra_holdout,6.841626210748093e-05,9.902376903402683e-06,retention_alpha_2p0,36,54,1,0,0.0006464891492141689
all,-1.4343167509117727,0.10368684047041449,retention_alpha_2p0,126,144,1,90,0.0006464891492141689
main_matrix,-1.9676850492047155,0.1479962645079001,retention_alpha_2p0,180,180,2,180,-0.0002374359678092297
extra_holdout,5.3259602145153644e-05,7.903101367713191e-06,retention_alpha_2p0,90,135,2,0,0.000725021336789311
all,-1.1243686311446321,0.08457268104795765,retention_alpha_2p0,270,315,2,180,0.000725021336789311
main_matrix,-2.032050151346147,0.15687114423044335,retention_alpha_2p0,180,180,3,180,-0.0002627030632584848
extra_holdout,5.964375375120154e-05,9.224542319174347e-06,retention_alpha_2p0,120,180,3,0,0.000737655000793147
all,-1.015995253796198,0.07844018438638126,retention_alpha_2p0,300,360,3,180,0.000737655000793147
main_matrix,-2.2825224281069016,0.1700688883696162,retention_alpha_2p0,90,90,4,90,-0.0006276618060185868
extra_holdout,7.019955480847818e-05,1.0615542182962447e-05,retention_alpha_2p0,90,135,4,0,0.0006112560927640232
all,-0.9129668515098757,0.06803392467315626,retention_alpha_2p0,180,225,4,90,0.0006112560927640232
main_matrix,-2.330607728125233,0.17430328935617473,retention_alpha_2p0,18,18,5,18,-0.0006596470561559542
extra_holdout,7.166520164957212e-05,1.0910579080900713e-05,retention_alpha_2p0,36,54,5,0,0.0004914168592051738
all,-0.5825981831300712,0.043584005273354376,retention_alpha_2p0,54,72,5,18,0.0004914168592051738
main_matrix,-11.951446181935287,1.0,retention_gate_0p0025,90,90,1,90,-1.0263101049168721
extra_holdout,2.4120243430068893,0.3333333333333333,retention_gate_0p0025,36,54,1,0,21.762086533250226
all,-6.565144735081972,0.75,retention_gate_0p0025,126,144,1,90,21.762086533250226
main_matrix,-11.28183101644426,1.0,retention_gate_0p0025,180,180,2,180,-1.084384320380627
extra_holdout,2.188573413364257,0.3333333333333333,retention_gate_0p0025,90,135,2,0,22.150408076758097
all,-5.5088005465263254,0.7142857142857143,retention_gate_0p0025,270,315,2,180,22.150408076758097
main_matrix,-11.809760245457346,1.0,retention_gate_0p0025,180,180,3,180,-1.199780662356864
extra_holdout,2.20605456612918,0.3333333333333333,retention_gate_0p0025,120,180,3,0,22.53638404133347
all,-4.801852839664083,0.6666666666666666,retention_gate_0p0025,300,360,3,180,22.53638404133347
main_matrix,-12.454450803783404,1.0,retention_gate_0p0025,90,90,4,90,-1.523001737841534
extra_holdout,2.2881185174706395,0.3333333333333333,retention_gate_0p0025,90,135,4,0,18.6747219793318
all,-3.6089092110309777,0.6,retention_gate_0p0025,180,225,4,90,18.6747219793318
main_matrix,-12.57775186582335,1.0,retention_gate_0p0025,18,18,5,18,-1.6006129471590969
extra_holdout,2.2765570362416137,0.3333333333333333,retention_gate_0p0025,36,54,5,0,15.013467063853291
all,-1.4370201892746266,0.5,retention_gate_0p0025,54,72,5,18,15.013467063853291
main_matrix,-11.951446181935287,1.0,retention_gate_0p005,90,90,1,90,-1.0263101049168721
extra_holdout,2.4120243430068893,0.3333333333333333,retention_gate_0p005,36,54,1,0,21.762086533250226
all,-6.565144735081972,0.75,retention_gate_0p005,126,144,1,90,21.762086533250226
main_matrix,-11.28183101644426,1.0,retention_gate_0p005,180,180,2,180,-1.084384320380627
extra_holdout,1.1198663768252595,0.13333333333333333,retention_gate_0p005,117,135,2,0,22.150408076758097
all,-5.966817847900182,0.6285714285714286,retention_gate_0p005,297,315,2,180,22.150408076758097
main_matrix,-11.809760245457346,1.0,retention_gate_0p005,180,180,3,180,-1.199780662356864
extra_holdout,1.5092034789861013,0.21666666666666667,retention_gate_0p005,141,180,3,0,22.53638404133347
all,-5.150278383235622,0.6083333333333333,retention_gate_0p005,321,360,3,180,22.53638404133347
main_matrix,-12.454450803783404,1.0,retention_gate_0p005,90,90,4,90,-1.523001737841534
extra_holdout,2.158787755371832,0.3111111111111111,retention_gate_0p005,93,135,4,0,18.6747219793318
all,-3.6865076682902624,0.5866666666666667,retention_gate_0p005,183,225,4,90,18.6747219793318
main_matrix,-12.57775186582335,1.0,retention_gate_0p005,18,18,5,18,-1.6006129471590969
extra_holdout,2.2765570362416137,0.3333333333333333,retention_gate_0p005,36,54,5,0,15.013467063853291
all,-1.4370201892746266,0.5,retention_gate_0p005,54,72,5,18,15.013467063853291
main_matrix,-11.951446181935287,1.0,retention_gate_0p0075,90,90,1,90,-1.0263101049168721
extra_holdout,0.0,0.0,retention_gate_0p0075,54,54,1,0,0.0
all,-7.469653863709556,0.625,retention_gate_0p0075,144,144,1,90,0.0
main_matrix,-11.28183101644426,1.0,retention_gate_0p0075,180,180,2,180,-1.084384320380627
extra_holdout,0.0,0.0,retention_gate_0p0075,135,135,2,0,0.0
all,-6.446760580825294,0.5714285714285714,retention_gate_0p0075,315,315,2,180,0.0
main_matrix,-11.809760245457346,1.0,retention_gate_0p0075,180,180,3,180,-1.199780662356864
extra_holdout,0.0,0.0,retention_gate_0p0075,180,180,3,0,0.0
all,-5.904880122728673,0.5,retention_gate_0p0075,360,360,3,180,0.0
main_matrix,-12.454450803783404,1.0,retention_gate_0p0075,90,90,4,90,-1.523001737841534
extra_holdout,0.0,0.0,retention_gate_0p0075,135,135,4,0,0.0
all,-4.981780321513362,0.4,retention_gate_0p0075,225,225,4,90,0.0
main_matrix,-12.57775186582335,1.0,retention_gate_0p0075,18,18,5,18,-1.6006129471590969
extra_holdout,0.0,0.0,retention_gate_0p0075,54,54,5,0,0.0
all,-3.144437966455837,0.25,retention_gate_0p0075,72,72,5,18,0.0
main_matrix,-11.951446181935287,1.0,retention_gate_0p01,90,90,1,90,-1.0263101049168721
extra_holdout,0.0,0.0,retention_gate_0p01,54,54,1,0,0.0
all,-7.469653863709556,0.625,retention_gate_0p01,144,144,1,90,0.0
main_matrix,-11.28183101644426,1.0,retention_gate_0p01,180,180,2,180,-1.084384320380627
extra_holdout,0.0,0.0,retention_gate_0p01,135,135,2,0,0.0
all,-6.446760580825294,0.5714285714285714,retention_gate_0p01,315,315,2,180,0.0
main_matrix,-11.809760245457346,1.0,retention_gate_0p01,180,180,3,180,-1.199780662356864
extra_holdout,0.0,0.0,retention_gate_0p01,180,180,3,0,0.0
all,-5.904880122728673,0.5,retention_gate_0p01,360,360,3,180,0.0
main_matrix,-12.454450803783404,1.0,retention_gate_0p01,90,90,4,90,-1.523001737841534
extra_holdout,0.0,0.0,retention_gate_0p01,135,135,4,0,0.0
all,-4.981780321513362,0.4,retention_gate_0p01,225,225,4,90,0.0
main_matrix,-12.57775186582335,1.0,retention_gate_0p01,18,18,5,18,-1.6006129471590969
extra_holdout,0.0,0.0,retention_gate_0p01,54,54,5,0,0.0
all,-3.144437966455837,0.25,retention_gate_0p01,72,72,5,18,0.0
main_matrix,-11.951446181935287,1.0,retention_gate_0p015,90,90,1,90,-1.0263101049168721
extra_holdout,0.0,0.0,retention_gate_0p015,54,54,1,0,0.0
all,-7.469653863709556,0.625,retention_gate_0p015,144,144,1,90,0.0
main_matrix,-11.11983800297593,0.9166666666666666,retention_gate_0p015,180,180,2,165,0.0
extra_holdout,0.0,0.0,retention_gate_0p015,135,135,2,0,0.0
all,-6.354193144557676,0.5238095238095238,retention_gate_0p015,315,315,2,165,0.0
main_matrix,-11.778258833895269,0.9833333333333333,retention_gate_0p015,180,180,3,177,0.0
extra_holdout,0.0,0.0,retention_gate_0p015,180,180,3,0,0.0
all,-5.889129416947634,0.49166666666666664,retention_gate_0p015,360,360,3,177,0.0
main_matrix,-12.454450803783404,1.0,retention_gate_0p015,90,90,4,90,-1.523001737841534
extra_holdout,0.0,0.0,retention_gate_0p015,135,135,4,0,0.0
all,-4.981780321513362,0.4,retention_gate_0p015,225,225,4,90,0.0
main_matrix,-12.57775186582335,1.0,retention_gate_0p015,18,18,5,18,-1.6006129471590969
extra_holdout,0.0,0.0,retention_gate_0p015,54,54,5,0,0.0
all,-3.144437966455837,0.25,retention_gate_0p015,72,72,5,18,0.0
main_matrix,-11.57531144628541,0.8333333333333334,retention_gate_0p02,90,90,1,75,0.0
extra_holdout,0.0,0.0,retention_gate_0p02,54,54,1,0,0.0
